id,class,family,family_cname,cname,name,fullname,is_endemic,iucn_category,source
380556,哺乳綱,Ziphiidae,喙鯨科,柯氏喙鯨,Ziphius cavirostris,Ziphius cavirostris Cuvier ,0,NA,原生
404551,鳥綱,Accipitridae,鷹科,大鵟,Buteo hemilasius,"Buteo hemilasius Temminck & Schlegel, 1844 ",0,NA,原生
432224,鳥綱,Accipitridae,鷹科,東方鵟,Buteo japonicus japonicus,"Buteo japonicus japonicus Temminck & Schlegel, 1844 ",0,NA,原生
420281,鳥綱,Accipitridae,鷹科,毛足鵟(堪察加亞種),Buteo lagopus kamtschatkensis,"Buteo lagopus kamtschatkensis Dementiev, 1931 ",0,NA,原生
380107,鳥綱,Accipitridae,鷹科,毛足鵟(西伯利亞亞種),Buteo lagopus menzbieri,"Buteo lagopus menzbieri Dementiev, 1951 ",0,NA,原生
432219,鳥綱,Ardeidae,鷺科,綠簑鷺(福建亞種),Butorides striata actophila,"Butorides striata actophila Oberholser, 1912 ",0,NA,原生
432218,鳥綱,Ardeidae,鷺科,綠簑鷺(過境亞種),Butorides striata amurensis,"Butorides striata amurensis von Schrenck, 1860 ",0,LC,原生
404552,鳥綱,Ardeidae,鷺科,綠簑鷺(臺灣留鳥亞種),Butorides striata carcinophila,"Butorides striata carcinophila Oberholser, 1924 ",0,LC,原生
443089,鳥綱,Bucerotidae,犀鳥科,噪犀鳥,Bycanistes bucinator,"Bycanistes bucinator Temminck, 1824 ",0,NA,歸化
419413,鳥綱,Cacatuidae,鳳頭鸚鵡科,白鳳頭鸚鵡,Cacatua alba,"Cacatua alba Statius Muller, 1776 ",0,NA,歸化
419414,鳥綱,Cacatuidae,鳳頭鸚鵡科,葵花鳳頭鸚鵡,Cacatua galerita,"Cacatua galerita Latham, 1790 ",0,NA,歸化
419415,鳥綱,Cacatuidae,鳳頭鸚鵡科,戈芬氏鳳頭鸚鵡,Cacatua goffiniana,"Cacatua goffiniana C. S. Roselaar & Michaels, 2004 ",0,NA,歸化
419416,鳥綱,Cacatuidae,鳳頭鸚鵡科,鮭色鳳頭鸚鵡,Cacatua moluccensis,"Cacatua moluccensis Gmelin, 1788 ",0,NA,歸化
404553,鳥綱,Cuculidae,杜鵑科,八聲杜鵑,Cacomantis merulinus querulus,"Cacomantis merulinus querulus Heine, 1863 ",0,NA,原生
432208,鳥綱,Anatidae,雁鴨科,疣鼻棲鴨,Cairina moschata,"Cairina moschata Linnaeus, 1758 ",0,NA,歸化
432199,鳥綱,Alaudidae,百靈科,賽氏短趾百靈,Calandrella dukhunensis,"Calandrella dukhunensis Sykes, 1832 ",0,NA,原生
404556,鳥綱,Calcariidae,鐵爪鵐科,鐵爪鵐,Calcarius lapponicus coloratus,"Calcarius lapponicus coloratus Ridgway, 1898 ",0,NA,原生
380212,鳥綱,Scolopacidae,鷸科,尖尾濱鷸,Calidris acuminata,"Calidris acuminata Horsfield, 1821 ",0,LC,原生
380213,鳥綱,Scolopacidae,鷸科,三趾濱鷸,Calidris alba alba,"Calidris alba alba Pallas, 1764 ",0,NA,原生
432234,鳥綱,Scolopacidae,鷸科,黑腹濱鷸(庫頁島亞種),Calidris alpina actites,"Calidris alpina actites Nechaev & Tomkovich, 1988 ",0,NA,原生
432235,鳥綱,Scolopacidae,鷸科,黑腹濱鷸(美洲亞種),Calidris alpina arcticola,"Calidris alpina arcticola Todd, 1953 ",0,NA,原生
432233,鳥綱,Scolopacidae,鷸科,黑腹濱鷸(千島亞種),Calidris alpina kistchinsk,"Calidris alpina kistchinsk Tomkovich, 1986 ",0,NA,原生
432232,鳥綱,Scolopacidae,鷸科,黑腹濱鷸(北部亞種),Calidris alpina sakhalina,"Calidris alpina sakhalina Vieillot, 1816 ",0,VU,原生
432231,鳥綱,Scolopacidae,鷸科,紅腹濱鷸(中部亞種),Calidris canutus piersmai,"Calidris canutus piersmai Tomkovich, 2001 ",0,NA,原生
432230,鳥綱,Scolopacidae,鷸科,紅腹濱鷸(東部亞種),Calidris canutus rogersi,"Calidris canutus rogersi Mathews, 1913 ",0,VU,原生
428563,鳥綱,Scolopacidae,鷸科,寬嘴鷸,Calidris falcinellus sibirica,"Calidris falcinellus sibirica Dresser, 1876 ",0,NA,原生
380216,鳥綱,Scolopacidae,鷸科,彎嘴濱鷸,Calidris ferruginea,"Calidris ferruginea Pontoppidan, 1763 ",0,LC,原生
404557,鳥綱,Scolopacidae,鷸科,高蹺濱鷸,Calidris himantopus,"Calidris himantopus Bonaparte, 1826 ",0,NA,原生
